Gene_A,Gene_B
SUV39H1,DBF4B
SUV39H1,CEP70
SUV39H1,ZNF417
SUV39H1,RIN3
SUV39H1,LNX1
SUV39H1,KLHDC4
SUV39H1,BAHD1
SUV39H1,TRIM41
SUV39H1,TEKT4
SUV39H1,KLK6
SUV39H1,DVL3
SUV39H1,SPSB1
SUV39H1,HOOK2
SUV39H1,MCRS1
SUV39H1,CDCA7L
SUV39H1,MSANTD3
SUV39H1,PPP1R16A
SUV39H1,LOXL4
SUV39H1,PRMT6
SUV39H1,FRMD6
SUV39H1,LENG8
SUV39H1,CRBN
SUV39H1,PNKP
SUV39H1,LZTS2
SUV39H1,ZNF649
SUV39H1,ZNF670
SUV39H1,GTPBP2
SUV39H1,CDCA4
SUV39H1,LDHAL6B
SUV39H1,ZNF436
SUV39H1,INTS2
SUV39H1,OPA3
SUV39H1,ZCCHC17
SUV39H1,RASSF1
SUV39H1,GPATCH2L
SUV39H1,ZNF581
SUV39H1,MALT1
SUV39H1,ZRANB1
SUV39H1,KLF15
SUV39H1,CDC23
SUV39H1,ING4
SUV39H1,ZKSCAN5
SUV39H1,KLHL20
SUV39H1,MTO1
SUV39H1,MTF2
SUV39H1,ZNF451
SUV39H1,HEL25
HTRA2,HTRA2
HTRA2,ZNF500
HTRA2,USP2
HTRA2,PIAS1
HTRA2,TNFSF15
HTRA2,LATS1
HTRA2,CSN2
HTRA2,KRT19
HTRA2,PSMC3
HTRA2,ZBTB25
HTRA2,RBM11
HTRA2,KLF3
HTRA2,XIAP
HTRA2,ID2
HTRA2,ERCC8
HTRA2,NEUROD1
HTRA2,KRT33B
HTRA2,WTAP
HTRA2,MAPK14
HTRA2,SMN1|SMN2
HTRA2,LONRF2
HTRA2,USH1G
HTRA2,DCAF8
HTRA2,TASOR2
HTRA2,TTC19
HTRA2,OTUD7B
HTRA2,KLC3
HTRA2,PPP1R21
HTRA2,ANKRD13D
HTRA2,CENPV
HTRA2,Q86V28
HTRA2,TEN1
HTRA2,IFT20
HTRA2,ZNF444
HTRA2,RYBP
HTRA2,MPND
HTRA2,KCTD17
HTRA2,SAMD3
HTRA2,MARCHF10
HTRA2,VPS37A
HTRA2,ENKUR
HTRA2,RNF138
HTRA2,PIH1D2
HTRA2,SOCS4
HTRA2,MYLIP
HTRA2,USP7
HTRA2,RNF183
HTRA2,ASB9
HTRA2,ASIC4
HTRA2,OTUB1
HTRA2,SMARCD1
HTRA2,RUSF1
HTRA2,PPP1R16B
HTRA2,MAP3K5
HTRA2,HAUS7
HTRA2,PATZ1
HTRA2,ARNT2
HTRA2,BIRC6
HTRA2,SH3GLB2
HTRA2,OTULINL
HTRA2,PCMTD2
HTRA2,ZNF232
HTRA2,KLHL20
HTRA2,ASB3
KLF4,HSF2BP
KLF4,GYS1
KLF4,PAX9
KLF4,TLE5
KLF4,DVL3
KLF4,MYO15B
OIP5,OIP5
OIP5,TLX3
OIP5,KRT86
OIP5,TIMM8A
OIP5,KIF1B
OIP5,KDM1A
OIP5,SORBS3
OIP5,CCDC22
OIP5,USP2
OIP5,BCAS2
OIP5,KRT37
OIP5,WFS1
OIP5,KRT75
OIP5,GPANK1
OIP5,HRAS
OIP5,KRT14
OIP5,KRT6B
OIP5,TPM3
OIP5,NEFL
OIP5,HOXB5
OIP5,PRR35
OIP5,COX5B
OIP5,KRT3
OIP5,SKIL
OIP5,RARG
OIP5,SNRPB
OIP5,HOXB9
OIP5,KRT15
OIP5,PSMB1
OIP5,AGXT
OIP5,FGFR3
OIP5,GRN
OIP5,HOXC8
OIP5,NUP62
OIP5,PEX19
OIP5,ABL2
OIP5,POLR2J
OIP5,GEM
OIP5,PRPS1
OIP5,KRT83
OIP5,POU6F2
OIP5,RUNX1T1
OIP5,TROAP
OIP5,GPS2
OIP5,BFSP2
OIP5,IL16
OIP5,KRT81
OIP5,GRIN2C
OIP5,TRIP6
OIP5,ZIC1
OIP5,KLHL38
OIP5,KRTAP19-6
OIP5,KRTAP19-5
OIP5,MGAT5B
OIP5,KRTAP13-2
OIP5,ZMAT1
OIP5,SOHLH1
OIP5,EFHC1
OIP5,MIIP
OIP5,KANK2
OIP5,KRT40
OIP5,C1ORF94
OIP5,MORN3
OIP5,SHISA6
OIP5,USP54
OIP5,NUP54
OIP5,SAMD7
OIP5,KRT27
OIP5,P4HA3
OIP5,PPP1R32
OIP5,NECAB2
OIP5,TFAP2D
OIP5,TRIM74
OIP5,TRIM73
OIP5,DTX2
OIP5,SPATA24
OIP5,CDR2L
OIP5,CEP57
OIP5,MISP
OIP5,SAXO1
OIP5,RIBC1
OIP5,PHETA1
OIP5,CCDC24
OIP5,USHBP1
OIP5,ZNF655
OIP5,TPRX1
OIP5,C7ORF31
OIP5,CBY2
OIP5,C7ORF57
OIP5,MYRIP
OIP5,GADD45GIP1
OIP5,ZNF417
OIP5,CERK
OIP5,CCHCR1
OIP5,BLOC1S5
OIP5,FAM222B
OIP5,S100Z
OIP5,KRT35
OIP5,CASP10
OIP5,APBB2
OIP5,FOXJ1
OIP5,SMARCE1
OIP5,LENG1
OIP5,GCC1
OIP5,ESS2
OIP5,DTNBP1
OIP5,CEP170P1
OIP5,FAM161B
OIP5,TSSK3
OIP5,TRIB3
OIP5,PITX2
OIP5,CRACR2A
OIP5,SNRNP25
OIP5,NUP58
OIP5,RUSC1
OIP5,TEKT3
OIP5,TEX12
OIP5,BEX2
OIP5,YTHDF1
OIP5,GLIS2
OIP5,HAPLN2
OIP5,C20ORF85
OIP5,DUSP21
OIP5,KIF9
OIP5,PATZ1
OIP5,MED4
OIP5,A1CF
OIP5,DMRT3
OIP5,EIF4ENIF1
OIP5,ABI2
OIP5,EURL
OIP5,MIS18A
OIP5,ABI3
OIP5,MYEF2
OIP5,KLHL42
OIP5,TFIP11
OIP5,CTNNA3
OIP5,RABGEF1
OIP5,HSF4
OIP5,RAB26
OIP5,PLAGL2
OIP5,KNSTRN
OIP5,Q9Y649
OIP5,CHCHD2
AKR7A2,AKR7A2
AKR7A2,AKR7A3
AKR7A2,ATXN3
AKR7A2,CEP70
AKR7A2,APBB2
AKR7A2,ZBTB1
PROM1,PLEKHA5
EPB41L2,ATXN1L
EPB41L2,YWHAG
EPB41L2,YWHAZ
EPB41L2,WNK1
TGOLN2,ABL1
TGOLN2,AGT
TGOLN2,KLKB1
TGOLN2,FYN
TGOLN2,LPL
TGOLN2,NCK1
TGOLN2,PLCG1
TGOLN2,PIK3R1
TGOLN2,VHL
TGOLN2,CRK
TGOLN2,KRTAP10-9
TGOLN2,GRB2
TGOLN2,CCT2
TGOLN2,AP2M1
TGOLN2,AP1M1
TGOLN2,AP3M1
TGOLN2,AP1M2
CACNA1G,UBQLN4
RAD51C,XRCC3
RAD51C,RAD51D
RAD51C,RAD51
RAD51C,SPG21
LAMTOR5,LAMTOR5
LAMTOR5,KIF1B
LAMTOR5,TBC1D4
LAMTOR5,GAPDH
LAMTOR5,ITGB1
LAMTOR5,GSN
LAMTOR5,MYH3
LAMTOR5,MYOG
LAMTOR5,FGFR3
LAMTOR5,SFPQ
LAMTOR5,MYF6
LAMTOR5,EIF4B
LAMTOR5,HSPA9
LAMTOR5,ACAA2
LAMTOR5,RABIF
LAMTOR5,SARS1
LAMTOR5,MEOX2
LAMTOR5,AKR1C2
LAMTOR5,HSPA2
LAMTOR5,FKBP1A
LAMTOR5,SKP1
LAMTOR5,EEF1A1
LAMTOR5,ZBTB16
LAMTOR5,PPARA
LAMTOR5,LAMTOR4
LAMTOR5,SMAD4
LAMTOR5,EIF3A
LAMTOR5,GIT2
LAMTOR5,GRIN2C
LAMTOR5,SHB
LAMTOR5,TAF9
LAMTOR5,GPRASP1
LAMTOR5,LRIF1
LAMTOR5,RIF1
LAMTOR5,RRAGB
LAMTOR5,LAMTOR1
LAMTOR5,RRAGA
LAMTOR5,PEG10
LAMTOR5,ANKRD46
LAMTOR5,MED12L
LAMTOR5,KMT2E
LAMTOR5,RPTOR
LAMTOR5,SLC38A9
LAMTOR5,CEP70
LAMTOR5,ZNF592
LAMTOR5,VOPP1
LAMTOR5,DNAJA3
LAMTOR5,YTHDC1
LAMTOR5,TCF12
LAMTOR5,UTP14A
LAMTOR5,MAF1
LAMTOR5,ECT2
LAMTOR5,RRAGC
LAMTOR5,CLIC5
LAMTOR5,CEP126
LAMTOR5,LAMTOR3
LAMTOR5,MKLN1
LAMTOR5,UBQLN1
LAMTOR5,LAMTOR2
LAMTOR5,GIT1
LAMTOR5,AK6
LAMTOR5,SNX5
LAMTOR5,HEBP2
TNFSF12,SGTA
TNFSF12,APP
TNFSF12,CDK1
TNFSF12,DDIT3
MED7,MED14
MED7,MED26
MED7,PML
MED7,MED21
MED7,TRIM29
MED7,LZTR1
MED7,ZSCAN1
MED7,HAUS1
MED7,RHOXF2
MED7,MED10
MED7,TRIM15
MED7,PCBD2
MED7,MED4
MED7,MED17
MED7,MED9
MED7,CAB39
MED7,MED31
MED7,IKBKG
WIPF1,NCK2
WIPF1,FYN
WIPF1,ALAS1
WIPF1,NCK1
WIPF1,WAS
WIPF1,SEC24C
WIPF1,GRB2
WIPF1,FASTK
WIPF1,SH3RF1
WIPF1,HOMER3
WIPF1,ABI2
WIPF1,ITSN2
WIPF1,CACNG2
ATP8B1,TMEM30B
ATP8B1,TMEM30A
BCL2L11,BCL2L11
BCL2L11,ATP6V1G1
BCL2L11,P4HB
BCL2L11,BCL2
BCL2L11,PEX19
BCL2L11,MAGEA11
BCL2L11,DYNLL1
BCL2L11,BAX
BCL2L11,BCL2L1
BCL2L11,MCL1
BCL2L11,FGL1
BCL2L11,MKRN3
BCL2L11,BCL2A1
BCL2L11,BAK1
BCL2L11,DTX2
BCL2L11,USHBP1
BCL2L11,BCL2L2
BCL2L11,AURKB
BCL2L11,FEM1C
BCL2L11,BCL2L10
BCL2L11,UBQLN2
FOXO3,FOXO3
FOXO3,ESR1
FOXO3,TP53
FOXO3,AKT1
FOXO3,YWHAB
FOXO3,CTNNB1
FOXO3,NR1H2
FOXO3,YWHAZ
FOXO3,SMAD3
FOXO3,NR1H3
FOXO3,SMAD4
FOXO3,MAPK6
FOXO3,CREBBP
FOXO3,SIRT1
KCNQ3,CALM3
KCNQ2,KCNQ2
KCNQ2,ARIH2
KCNQ2,CALM1
KCNQ2,CALM3
CHST10,HSF1
SMAD6,RPS6KA5
SMAD6,MAPK6
SMAD6,SMURF2
SMAD6,SMURF1
XRCC3,SNAI1
XRCC3,TFF1
XRCC3,CXCL1
XRCC3,SERPINB5
XRCC3,BRCA2
XRCC3,RAD51
XRCC3,TRIM25
XRCC3,ZNHIT3
XRCC3,GREB1
XRCC3,RNF20
XRCC3,ITIH5
XRCC3,BAP1
XRCC3,LRATD2
XRCC3,SCGB3A1
XRCC3,BCAS3
XRCC3,PSMC3IP
XRCC3,MRC2
XRCC3,OSGIN1
XRCC2,RAD51D
XRCC2,MEOX2
XRCC2,RAD51
XRCC2,WFDC1
XRCC2,NKIRAS1
TGM5,PRPF40A
TGM5,LAMP2
TGM5,LGALS7|LGALS7B
TGM5,CASP6
TGM5,GRB7
TGM5,KANK2
TGM5,LARP4
TGM5,RBM41
SGCE,ARIH2
SGCE,CWC15
TNFSF14,TNFSF14
TNFSF14,CLDN11
TNFSF14,BMP10
TNFSF14,TNFRSF6B
TNFSF14,TMEM11
TNFSF14,MAL
TNFSF14,PTTG1IP
TNFSF14,CXCL9
TNFSF14,SEC23A
TNFSF14,ADIPOQ
TNFSF14,OLFM4
TNFSF14,ZDHHC24
TNFSF14,LHFPL3
TNFSF14,SYS1
TNFSF14,JAGN1
TNFSF14,CLDN19
TNFSF14,TNFRSF14
TNFSF14,SEC22A
TNFSF14,ADAM33
TNFSF14,PLLP
FRS3,FRS3
FRS3,SPRY2
FRS3,GPRIN2
FRS3,STK16
FRS3,KRT34
FRS3,HCK
FRS3,NOTCH2NLC
FRS3,TCF4
FRS3,GATA1
FRS3,DDX5
FRS3,COL8A1
FRS3,HOXD12
FRS3,MATK
FRS3,CCN3
FRS3,HOXA1
FRS3,NUMB
FRS3,VASP
FRS3,KRTAP10-8
FRS3,YPEL3
FRS3,KRT76
FRS3,ID2
FRS3,ID3
FRS3,CREB5
FRS3,KRTAP1-1
FRS3,TLE5
FRS3,INCA1
FRS3,GRB14
FRS3,KRT33B
FRS3,KARS1
FRS3,KRT31
FRS3,TRIP6
FRS3,ZNF124
FRS3,ECM1
FRS3,ANKRD55
FRS3,KRTAP6-2
FRS3,TSGA10IP
FRS3,Q59E92
FRS3,C19ORF54
FRS3,MIIP
FRS3,KPRP
FRS3,NADSYN1
FRS3,CDPF1
FRS3,PLB1
FRS3,C22ORF39
FRS3,ADAMTSL4
FRS3,KIAA0408
FRS3,NOTCH2NLA
FRS3,ZNF438
FRS3,PPP1R32
FRS3,SPATA12
FRS3,ZSCAN30
FRS3,RFX6
FRS3,KRTAP11-1
FRS3,STH
FRS3,SLC22A18AS
FRS3,LRRC18
FRS3,CCDC33
FRS3,CBY2
FRS3,SLAIN1
FRS3,CATSPER1
FRS3,ZMIZ2
FRS3,ZNF417
FRS3,C11ORF45
FRS3,TCP10L
FRS3,ZFP90
FRS3,POF1B
FRS3,PIH1D2
FRS3,MBD3L1
FRS3,SOCS4
FRS3,PIK3R3
FRS3,TSC1
FRS3,KRT35
FRS3,PCSK5
FRS3,LINGO1
FRS3,TGM7
FRS3,SPAG8
FRS3,WDR83
FRS3,TRAF4
FRS3,SCNM1
FRS3,SHANK3
FRS3,KRTAP3-2
FRS3,KRTAP3-1
FRS3,KATNBL1
FRS3,BLZF1
FRS3,C11ORF1
FRS3,ZNF552
FRS3,UNKL
FRS3,TNS1
FRS3,ESM1
FRS3,DMRT3
FRS3,PRDM6
FRS3,PDLIM7
FRS3,SH2B1
FRS3,ZNF446
FRS3,ANAPC11
FRS3,WWOX
FRS3,ZNF69
FRS3,RIMBP3
FRS3,IKZF3
FRS3,ISY1
FRS3,AKAP8L
FRS3,ALK
FRS3,COPS3
FRS3,PLLP
FRS3,ATP23
LAT,PSCA
LAT,SGTA
LAT,CREB3
LAT,GJB3
LAT,CLDN7
LAT,EGFR
LAT,SLPI
LAT,LCK
LAT,ASGR2
LAT,GJB1
LAT,CD3G
LAT,PLCG2
LAT,PLCG1
LAT,CD53
LAT,OPRM1
LAT,SLC16A2
LAT,ZAP70
LAT,KIR2DL3
LAT,GJA8
LAT,CAMLG
LAT,MEOX2
LAT,SLC18A1
LAT,CLDN2
LAT,GRB2
LAT,GRAP
LAT,SLC14A2
LAT,PRR4
LAT,CXORF66
LAT,MFSD14B
LAT,MFSD5
LAT,SLC51B
LAT,LHFPL1
LAT,NDUFAF2
LAT,KCTD17
LAT,KASH5
LAT,SYT2
LAT,GOLM1
LAT,LHFPL5
LAT,GPR152
LAT,GPR151
LAT,SSMEM1
LAT,THAP4
LAT,TMEM45B
LAT,APH1A
LAT,TM4SF18
LAT,SGTB
LAT,BSCL2
LAT,TMEM80
LAT,JSRP1
LAT,GPR101
LAT,TMEM237
LAT,SERINC2
LAT,CYBC1
LAT,BCL2L13
LAT,SLC26A6
LAT,MAP1LC3C
LAT,SLC19A3
LAT,MS4A7
LAT,MFF
LAT,MTIF3
LAT,CDIP1
LAT,SLC35C2
LAT,SAR1A
LAT,ZDHHC7
LAT,TNFRSF10D
LAT,MRPS18B
LAT,FKBP7
LAT,ZHX2
RGS14,GNAI3
RGS14,NFKB1
RGS14,WAS
RGS14,GNAI1
RGS14,TRAF2
RGS14,TINF2
RGS14,POT1
RNF13,RNF13
RNF13,UBB
RNF13,UBE2D1
RNF13,UBE2E1
RNF13,UBE2D3
RNF13,UBE2N
RNF13,UBE2D2
RNF13,UBE2E3
RNF13,UBE2D4
CA12,CA12
CA12,ATP5F1C
CA12,CUX1
CA12,LGALS7|LGALS7B
CA12,MAPK6
CA12,SMIM40
CA12,RDH11
CA12,TOE1
CA12,MRPL9
CA12,KATNBL1
CA12,DAXX
AKAP10,AKAP10
AKAP10,PRKAR1A
AKAP10,PDZK1
SYT7,SIAH1
DENR,DENR
DENR,UBC
DENR,MARCHF5
DENR,MCTS1
PSTPIP1,BUB3
PSTPIP1,HSF2BP
PSTPIP1,TULP3
PSTPIP1,MOS
PSTPIP1,CD2
PSTPIP1,PRR35
PSTPIP1,TPH1
PSTPIP1,RPL9|RPL9P7|RPL9P8|RPL9P9
PSTPIP1,WAS
PSTPIP1,FASLG
PSTPIP1,HHEX
PSTPIP1,PTPN12
PSTPIP1,EHHADH
PSTPIP1,NCBP1
PSTPIP1,IL16
PSTPIP1,MVP
PSTPIP1,RTP5
PSTPIP1,RNPS1
PSTPIP1,CWF19L2
PSTPIP1,TSGA10IP
PSTPIP1,ZC2HC1C
PSTPIP1,KANK2
PSTPIP1,FAM90A1
PSTPIP1,DHX40
PSTPIP1,PRPF31
PSTPIP1,UBE2W
PSTPIP1,MCRS1
PSTPIP1,SMARCD1
PSTPIP1,LIN37
PSTPIP1,FBXL18
PSTPIP1,PNKP
PSTPIP1,PTPN18
PSTPIP1,SCNM1
PSTPIP1,HAPLN2
PSTPIP1,SH2D4A
PSTPIP1,ZNF408
PSTPIP1,ZNF580
PSTPIP1,SPG7
PSTPIP1,TRAF3IP3
PSTPIP1,ZNF175
PSTPIP1,LSM4
PSTPIP1,PCDHB14
XPOT,KRT75
XPOT,RAN
XPOT,POU6F2
XPOT,TRA2A
HR,SPRY3
HR,TBL1X
HR,RARA
HR,RBP3
HR,RARB
HR,TRIM27
HR,HOXA1
HR,GEMIN4
HR,YPEL3
HR,INCA1
HR,KRTAP15-1
HR,MGAT5B
HR,KRTAP13-2
HR,C19ORF54
HR,KRTAP11-1
HR,ABHD11
HR,FAM168A
HR,TSC1
HR,SPAG8
HR,CNFN
HR,KRTAP3-3
HR,KRTAP3-1
HR,ZMYND12
HR,C11ORF1
HR,KLHL20
HR,AMMECR1
HR,ATP23
SPRY2,SPRY2
SPRY2,SPRY1
SPRY2,NCK2
SPRY2,PRKAB2
SPRY2,GPRIN2
SPRY2,MAPKBP1
SPRY2,KDM1A
SPRY2,EIF4E2
SPRY2,STK16
SPRY2,GRAP2
SPRY2,BAG3
SPRY2,CSTB
SPRY2,CTSB
SPRY2,GP9
SPRY2,SDHB
SPRY2,CBL
SPRY2,KRTAP5-9
SPRY2,AQP1
SPRY2,OTX1
SPRY2,FBN1
SPRY2,PTGER3
SPRY2,HOXA1
SPRY2,MEOX2
SPRY2,DNM2
SPRY2,FXR1
SPRY2,FXR2
SPRY2,CRIP2
SPRY2,NUBP1
SPRY2,NR1H2
SPRY2,MLLT6
SPRY2,UBASH3A
SPRY2,KRTAP10-1
SPRY2,KRTAP10-3
SPRY2,KRTAP10-5
SPRY2,KRTAP10-8
SPRY2,KRTAP10-9
SPRY2,KRTAP10-11
SPRY2,GRB2
SPRY2,CREB5
SPRY2,ZBTB16
SPRY2,RUNX1T1
SPRY2,KIF1A
SPRY2,TRAF2
SPRY2,DGCR6
SPRY2,CRMP1
SPRY2,ZNF266
SPRY2,LASP1
SPRY2,ITSN1
SPRY2,LONRF1
SPRY2,Q5JPT6
SPRY2,LCE3C
SPRY2,LCE3E
SPRY2,LCE1C
SPRY2,LCE1F
SPRY2,LCE1A
SPRY2,LCE1B
SPRY2,LCE4A
SPRY2,LCE2D
SPRY2,TNS2
SPRY2,KRTAP5-6
SPRY2,ADAMTSL4
SPRY2,NUFIP2
SPRY2,ZDHHC17
SPRY2,FAM219A
SPRY2,UBR1
SPRY2,MB21D2
SPRY2,TXNDC5
SPRY2,CATSPER1
SPRY2,ZNF417
SPRY2,UBASH3B
SPRY2,ATRIP
SPRY2,SH3KBP1
SPRY2,HEXIM2
SPRY2,ZNF587
SPRY2,MDFI
SPRY2,KRTAP4-12
SPRY2,TRIM51
SPRY2,RTF2
SPRY2,KRTAP9-4
SPRY2,KRTAP9-2
SPRY2,KRTAP4-11
SPRY2,KRTAP4-7
SPRY2,HSD3B7
SPRY2,CHRD
SPRY2,Q9H8J7
SPRY2,TMEM14B
SPRY2,SHFL
SPRY2,FAIM
SPRY2,SEMA5B
SPRY2,MID2
SPRY2,PACSIN3
SPRY2,GNE
SPRY2,USP20
SPRY2,TCAF1
DNPH1,DNPH1
DNPH1,PRKCA
DNPH1,TERF1
DNPH1,YWHAG
DNPH1,SETDB1
DNPH1,LMO3
DNPH1,KAT5
DNPH1,DDIT4L
DNPH1,POT1
DNPH1,PILRA
DCX,DCX
DCX,TRIM27
DCX,TRIM23
DCX,MAPK9
DCX,MEOX1
DCX,MEOX2
DCX,TERF1
DCX,KRTAP10-8
DCX,GOLGA2
DCX,CALCOCO2
DCX,IKZF1
DCX,MTUS2
DCX,KRT40
DCX,RINT1
DCX,VPS52
DCX,BICD2
DCX,ACD
DCX,ZBTB10
DCX,HOOK2
DCX,SPAG5
DCX,PPP1R9B
DCX,TINF2
DCX,KIFC3
DCX,POT1
DCX,ZRANB1
DCX,MID2
SPRY1,PRKAB2
SPRY1,HSF2BP
SPRY1,FARS2
SPRY1,HRG
SPRY1,NOTCH2NLC
SPRY1,ZNF23
SPRY1,FBLN1
SPRY1,YY1
SPRY1,KRTAP5-9
SPRY1,OTX1
SPRY1,STAT3
SPRY1,HOXA1
SPRY1,SMCP
SPRY1,MEOX2
SPRY1,FXR1
SPRY1,FXR2
SPRY1,KPNA2
SPRY1,PRKAA2
SPRY1,UBASH3A
SPRY1,GEMIN4
SPRY1,KRTAP12-2
SPRY1,KRTAP12-3
SPRY1,KRTAP10-1
SPRY1,KRTAP10-3
SPRY1,KRTAP10-5
SPRY1,KRTAP10-7
SPRY1,KRTAP10-8
SPRY1,KRTAP10-9
SPRY1,KRTAP10-11
SPRY1,CREB5
SPRY1,REL
SPRY1,KRTAP1-1
SPRY1,INCA1
SPRY1,KRT31
SPRY1,CCDC57
SPRY1,VWC2
SPRY1,DKFZP686J1568
SPRY1,LCE3C
SPRY1,KPRP
SPRY1,LCE1C
SPRY1,LCE1D
SPRY1,LCE1F
SPRY1,LCE1A
SPRY1,LCE1B
SPRY1,LCE3A
SPRY1,LCE4A
SPRY1,LCE2A
SPRY1,LCE2C
SPRY1,LCE2D
SPRY1,LCE5A
SPRY1,FHL5
SPRY1,ANKRD11
SPRY1,ADAMTSL4
SPRY1,NOTCH2NLA
SPRY1,TFAP2D
SPRY1,CDR2L
SPRY1,KRTAP11-1
SPRY1,KRTAP1-3
SPRY1,MB21D2
SPRY1,ZNF441
SPRY1,ZNF417
SPRY1,SOCS4
SPRY1,PCSK5
SPRY1,ZNF837
SPRY1,HEXIM2
SPRY1,GUCD1
SPRY1,TGM7
SPRY1,MDFI
SPRY1,KRTAP4-12
SPRY1,LCE3D
SPRY1,KRTAP9-3
SPRY1,KRTAP9-2
SPRY1,KRTAP4-2
SPRY1,KRTAP3-2
SPRY1,CHRD
SPRY1,NTM
SPRY1,GNE
SPRY1,R3HDM2
SPRY1,ZNF330
SPRY3,MAPKBP1
SPRY3,KRT34
SPRY3,AQP1
SPRY3,HOXA1
SPRY3,MEOX2
SPRY3,VSNL1
SPRY3,CREB5
SPRY3,LCE3E
SPRY3,KPRP
SPRY3,LCE1F
SPRY3,LCE1A
SPRY3,LCE1B
SPRY3,LCE3A
SPRY3,ZDHHC17
SPRY3,ZNF655
SPRY3,CATSPER1
SPRY3,SLC39A7
SPRY3,ZNF587
SPRY3,BEX2
SPRY3,LCE3D
SPRY3,CHRD
SPRY3,NEK6
SPRY3,GNE
SPRY3,R3HDM2
SPRY3,GPSM3
HCRT,HCRTR2
HCRT,HLA-DQA1
HCRT,HLA-DQB1
HCRTR1,HCRTR1
HCRTR2,GNB1
HCRTR2,PPIA
TIMM44,SFT2D2
TIMM44,ARAF
TIMM44,UBASH3A
TIMM44,GTF2B
TIMM44,DR1
TIMM44,CCDC57
TIMM44,CMTM5
TIMM44,GTF3C3
TRAPPC3,TRAPPC3
TRAPPC3,CDC45
TRAPPC3,TRAPPC6A
TRAPPC3,TRAPPC2
TRAPPC3,VCAM1
TRAPPC3,TRAPPC6B
TRAPPC3,TRAPPC5
TRAPPC3,PLEKHF2
TRAPPC3,MED4
TRAPPC3,TRAPPC2L
TRAPPC3,TRAPPC8
TRAPPC3,TRAPPC1
SNAI2,SAT1
SNAI2,TRIM23
SNAI2,ZNF76
SNAI2,GSK3B
SNAI2,CSNK2A1
SNAI2,CABP2
CHMP2A,VPS4B
CHMP2A,STAMBP
CHMP2A,TGFB3
CHMP2A,HTT
CHMP2A,E2F4
CHMP2A,DOCK8
CHMP2A,MITD1
CHMP2A,CHMP4B
CHMP2A,VPS4A
CHMP2A,CHMP3
FOXS1,BMI1
FOXS1,RBPMS
NCK2,NCK2
NCK2,ONECUT3
NCK2,HSF2BP
NCK2,SORBS2
NCK2,EGFR
NCK2,ERBB2
NCK2,CD3E
NCK2,MET
NCK2,HOXC4
NCK2,ZNF688
NCK2,KIT
NCK2,HOXD8
NCK2,TRIM27
NCK2,CHN1
NCK2,TCF4
NCK2,ERBB3
NCK2,EEF1G
NCK2,TXK
NCK2,WAS
NCK2,MAGEA6
NCK2,FASLG
NCK2,LIMS1
NCK2,MASP1
NCK2,HOXA1
NCK2,MEOX2
NCK2,FXR2
NCK2,CHN2
NCK2,EFNB2
NCK2,FOSB
NCK2,ATN1
NCK2,BCAR1
NCK2,HNRNPK
NCK2,BTG1
NCK2,PRR20E
NCK2,PRR20C
NCK2,PRR20D
NCK2,PRR20B
NCK2,PRR20A
NCK2,RASSF7
NCK2,REL
NCK2,INCA1
NCK2,LCP2
NCK2,PAK1
NCK2,PAK2
NCK2,CBLB
NCK2,NR5A1
NCK2,GAB1
NCK2,SNW1
NCK2,ARGBPIB
NCK2,DRAP1
NCK2,SF3B4
NCK2,SF3A2
NCK2,SF1
NCK2,TRIP6
NCK2,CPSF6
NCK2,ANKRD55
NCK2,C4ORF17
NCK2,PRR16
NCK2,NHSL2
NCK2,MIA3
NCK2,FAM47A
NCK2,EFHC2
NCK2,VARS2
NCK2,KIAA1217
NCK2,Q5T6W5
NCK2,KPRP
NCK2,RBM26
NCK2,ZC2HC1B
NCK2,FBXL19
NCK2,KLHL35
NCK2,KLHL24
NCK2,CLEC17A
NCK2,KIAA0408
NCK2,PIK3AP1
NCK2,RHOU
NCK2,SCX
NCK2,NET1
NCK2,ANKS1B
NCK2,GGN
NCK2,FAM83A
NCK2,FAM124A
NCK2,MYPOP
NCK2,SPATA2L
NCK2,HOMEZ
NCK2,CBARP
NCK2,PHETA1
NCK2,CCDC33
NCK2,KCTD17
NCK2,CPSF7
NCK2,DTX3
NCK2,RBBP8NL
NCK2,DEFB124
NCK2,USP32
NCK2,NFKBID
NCK2,LNX1
NCK2,TCP10L
NCK2,SSH3
NCK2,ZNF526
NCK2,TRIM41
NCK2,WASF1
NCK2,TNR
NCK2,MBD6
NCK2,ZC2HC1A
NCK2,CCDC120
NCK2,SHD
NCK2,FCRL2
NCK2,SYNGAP1
NCK2,MNT
NCK2,NPAS2
NCK2,CIB1
NCK2,LZTS2
NCK2,TMEM121
NCK2,ZNF341
NCK2,PBX4
NCK2,CIPC
NCK2,SPATC1L
NCK2,INTS2
NCK2,BCL11A
NCK2,NELFA
NCK2,SRMS
NCK2,REEP4
NCK2,GAREM1
NCK2,VPS37B
NCK2,PRDM6
NCK2,DISC1
NCK2,CUEDC1
NCK2,ABI2
NCK2,FAM53C
NCK2,NCKIPSD
NCK2,ABI3
NCK2,SCML2
NCK2,DLGAP4
NCK2,WBP11
NCK2,ZBTB12
PSCA,VAMP4
PSCA,MOSPD3
PSCA,APOA2
PSCA,CTSA
PSCA,CD53
PSCA,SLC7A1
PSCA,SLC35A1
PSCA,PLP2
PSCA,TMEM97
PSCA,TSPO2
PSCA,PLPP4
